Bordcode,foto,betekenis,toepassing,folie < 2x2,afmeting uitz,afmeting beb kom,afmeting < 2x2,afmeting > 2x2,afstand,opstelhoogte normaal,opstelhoogte beb kom-parkeerplaats,opstelhoogte boven rijweg,opmerking
IG4,,Grenssignalisatie,Duidt snelheidsregimes in België aan,1,,,Zie DO,Zie DO,Aan de landsgrens,1500,2100,,Zie Dienstorder MOW/AWV/2014/19
IG5,,"Inhaalverbod voor vrachtwagens met een MTM van meer dan 3,5t waar de rijbaan 2 rijstroken in de gevolgde rijrichting omvat","Om aan te duiden dat vrachtwagens met een MTM van meer dan 3,5t niet mogen voorbijsteken waar de rijbaan 2 rijstroken in de gevolgde rijrichting omvat",1,,,Niet A-wegen: 1100x1700,A-wegen: 2000x2750,Aan de landsgrens,1500,2100,,"Enkel voor vervoer van zaken, niet voor vervoer van personen"
IG6,,"Inhaalverbod voor bestuurders van voortuigen met een MTM van meer dan 7,5t bij neerslag","Om aan te duiden dat voertuigen met een MTM van meer dan 7,5t niet mogen voorbijsteken bij neerslag en dit in het volledige landsgedeelte",1,,,Niet A-wegen: 1100x1700,A-wegen: 2000x2750,Aan de landsgrens,1500,2100,,Zie brief AG: 16DH-U-07-0136 dd 24/4/2007. Zie AVVG nr. 115
IM1,,Parkerende vrachtwagens - gebruik van carpoolparkings,Om aan te duiden dat vrachtwagens langer dan 8 uur mogen parkeren op carpoolparkings,1,,,600x300,,Onder F59,1500,2100,,Zie dienstorder LIN/AWV 2006/5. Mag niet onder E-borden
IM2,,Onderbord bij F98,,1,,,,,,1500,2100,,
IR10a,,Referentiebord op autosnelwegen en primaire wegen,Te plaatsen op wegen waar er 2 Europese trajecten lopen,1,400x400,,,,,1000,1000,,
IR10b,,Referentiebord op autosnelwegen en primaire wegen,Te plaatsen op wegen waar er 1 Europees traject loopt,1,400x400,,,,,1000,1000,,
IR10c,,Referentiebord op autosnelwegen en primaire wegen,Te plaatsen op wegen waar er geen Europees traject loopt,1,400x400,,,,,1000,1000,,
IR1b,,Referentiebord met km aanduiding,,1,,,700x700,700x700,,1000,1000,,Afmeting 500x500 kan indien te bevestigen tegen new jersey
IR1c,,Referentiepaal met km aanduiding,,nvt,,,,,,,,,Voorstelling op terrein komt niet overeen met bord. De groene omranding geeft aan dat dit een plastic referentiepaal is. Zie SB250 10/1.16
IR1d,,Referentiemarkering met km aanduiding,,nvt,,,,,,,,,Voorstelling op terrein komt niet overeen met bord. De groene omranding geeft aan dat dit een markering is.
IR2b,,Referentiebord met hm aanduiding,,1,,,450x200,,,1000,1000,,
IR2c,,Referentiepaal met hm aanduiding,,nvt,,,,,,,,,Voorstelling op terrein komt niet overeen met bord. De groene omranding geeft aan dat dit een plastic referentiepaal is. Zie SB250 10/1.17
IR2d,,Referentiemarkering met hm aanduiding,,nvt,,,,,,,,,Voorstelling op terrein komt niet overeen met bord. De blauwe omranding geeft aan dat dit een markering is.
IR3a,,Referentiebord met km aanduiding en Ident7,,1,,,450x200,,,1000,1000,,
IR3b,,Referentiebord met hm aanduiding en Ident7,,1,,,450x200,,,1000,1000,,
IT1,,Toerisme,Duidt een toeristische streek of stad aan,1,,,3710x2300,3710x2300,,1500,2100,,Zie DO MOW/AWV/2015/??. Enkel op autosnelwegen.
ITRS,,Tijdelijke richting signalisatie,Signalisatie voor omleidingen bij calamiteiten of wegwerkzaamheden,"3.a (fluo), 3.b (fluo)",,,,,,1500,2100,,Zie vademecum tijdelijke bewegwijzering en SB250 10/1.18
IU1,,Bord met uitritnummer,Om de nummer van de uitrit aan te duiden wanneer deze niet geïntegreerd kan worden in de F15.,2,,,,1300x1300,Op de galgpaal van F15 waar uitrit volldige breedte heeft. 0-punt,Net onder F15,,,Zie dienstorder MOW/AWV 2014/2. Uitdovend als onafhankelijk bord.
IU2,,Uitritbord met naam en nummer van de uitrit met vermelding van afstand.,,2,,,,,Op 400m en 1500m voor het 0-punt van de uitrit,1500,,,Bord op 1500m links in middenberm herhalen bij voldoende plaats. Zie dienstorder MOW/AWV 2014/2
IU3a,,Knooppuntbord met naam van het knooppunt en vermelding van afstand,,2,,,,,Op 1600m van het 0-punt,1500,,,Bij voldoende plaats op middenberm links herhalen. Zie dienstorder MOW/AWV 2014/2
IU3b,,Knooppuntbord met naam van het knooppunt,,2,,,,,Op 200-400m van de F15 die de afsplitsing van rijstroken aangeeft of de F15 thv de uitrit (0-punt),1500,,,Zie dienstorder MOW/AWV/2014/2
IU4a,,Nevenbedrijf op afstand,,2,,,,,Zie dienstorder naargelang type parkeerplaats,1500,,,Zie dienstorder MOW/AI/2006/10. Kwaliteitslabels worden niet vermeld (AVVG nr. 107)
IU4b,,Uitritbord thv nevenbedrijf,,2,,,,,Wordt geplaatst waar uitrit van nevenbedrijf de volledige breedte heeft = 0-punt.,5500,,,Zie dienstorder MOW/AI/2006/10. Kwaliteitslabels worden niet vermeld (AVVG nr. 107)
IU4c,,Onderbord IU4a met aanduiding daarop volgende tankgelegenheid,,2,,,,,,Onder IU4a,,,Zie dienstorder MOW/AI/2006/10
IV1,,Retroreflecterende koker,,"2, 3 (fluo)",160x800,160x800,160x800,160x800,,170,170,,Indien geen fluo dient men gebruikt te maken van folietype 2. Zie dienstorder MOW/AWV/2008/26 en SB250 10/1.15.
IV2,,Inwendig verlichte verkeerszuil,,nvt,,,,,,0,0,,Zie dienstorder MOW/AWV/2008/26
IV3,,Lichtnagel,,nvt,,,,,,0,0,,
